date,group,cockroach_id,video,experiment_type,left_stimulus,right_stimulus,error,time_right_s,percent_right_s,time_top_ns,percent_top_ns,time_bottom_ns,percent_bottom_ns,time_left_s,percent_left_s,preferred_quadrant,preferred_stimulus_or_quadrant,total_frames,tracked_frames,tracking_point
20250820,Group1,c00,Basler_c00_acA2040-90um (24827095)_20250820_120514304DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250820,Group1,c01,Basler_c01_acA2040-90um (24827095)_20250820_154029285DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Iso,1201,1201,body_end
20250820,Group1,c02,Basler_c02_acA2040-90um (24827095)_20250820_151308988DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Iso,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250820,Group1,c03,Basler_c03_acA2040-90um (24827095)_20250820_123101811DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250820,Group1,c04,Basler_c04_acA2040-90um (24827095)_20250820_143759091DLC_Resnet50_single_k7Sep2shuffle1_snapshot_020.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250821,Group2,c00,Basler_c00_acA2040-90um (24827095)_20250821_121309125DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250821,Group2,c01,Basler_c01_acA2040-90um (24827095)_20250821_124540628DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Nothing,1201,1201,body_end
20250821,Group2,c02,Basler_c02_acA2040-90um (24827095)_20250821_144027805DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250821,Group2,c03,Basler_c03_acA2040-90um (24827095)_20250821_132311364DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Iso,1201,1201,body_end
20250821,Group2,c04,Basler_c04_acA2040-90um (24827095)_20250821_145931948DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250822,Group3,c00,Basler_c00_acA2040-90um (24827095)_20250822_161602073DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250822,Group3,c01,Basler_c01_acA2040-90um (24827095)_20250822_175401025DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Feces,1201,1201,body_end
20250822,Group3,c02,Basler_c02_acA2040-90um (24827095)_20250822_163928413DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250822,Group3,c03,Basler_c03_acA2040-90um (24827095)_20250822_181742703DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250822,Group3,c04,Basler_c04_acA2040-90um (24827095)_20250822_155841174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Feces,1201,1201,body_end
20250824,Group4,c00,Basler_c00_acA2040-90um (24827095)_20250824_154602386DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250823,Group4,c01,Basler_c01_acA2040-90um (24827095)_20250823_184410043DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Feces,1201,1201,body_end
20250823,Group4,c02,Basler_c02_acA2040-90um (24827095)_20250823_180919059DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250824,Group4,c03,Basler_c03_acA2040-90um (24827095)_20250824_161014042DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250824,Group4,c04,Basler_c04_acA2040-90um (24827095)_20250824_162816232DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Feces,1201,1201,body_end
20250827,Group5,c00,Basler_c00_acA2040-90um (24827095)_20250827_160321006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Feces,1201,1201,body_end
20250827,Group5,c01,Basler_c01_acA2040-90um (24827095)_20250827_134742816DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Feces,1201,1201,body_end
20250827,Group5,c02,Basler_c02_acA2040-90um (24827095)_20250827_140613973DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250827,Group5,c03,Basler_c03_acA2040-90um (24827095)_20250827_154825174DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Feces,1201,1201,body_end
20250827,Group5,c04,Basler_c04_acA2040-90um (24827095)_20250827_144110654DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Iso,1201,1201,body_end
20250826,Group6,c00,Basler_c00_acA2040-90um (24827095)_20250826_160636162DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Feces,1201,1201,body_end
20250826,Group6,c01,Basler_c01_acA2040-90um (24827095)_20250826_162921462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Feces,1201,1201,body_end
20250826,Group6,c02,Basler_c02_acA2040-90um (24827095)_20250826_165025681DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250826,Group6,c03,Basler_c03_acA2040-90um (24827095)_20250826_141354344DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Iso,Feces,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Feces,1201,1201,body_end
20250826,Group6,c04,Basler_c04_acA2040-90um (24827095)_20250826_144359069DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Feces,Feces,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Feces,1201,1201,body_end
20250829,Group7,c00,Basler_c00_acA2040-90um (24827095)_20250829_125126265DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250829,Group7,c01,Basler_c01_acA2040-90um (24827095)_20250829_115401362DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Nothing,1201,1201,body_end
20250829,Group7,c02,Basler_c02_acA2040-90um (24827095)_20250829_123306184DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250829,Group7,c03,Basler_c03_acA2040-90um (24827095)_20250829_121529352DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Iso,1201,1201,body_end
20250829,Group7,c04,Basler_c04_acA2040-90um (24827095)_20250829_113153034DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250828,Group8,c00,Basler_c00_acA2040-90um (24827095)_20250828_112809766DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Nothing,1201,1201,body_end
20250828,Group8,c01,Basler_c01_acA2040-90um (24827095)_20250828_122245978DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Nothing,1201,1201,body_end
20250828,Group8,c02,Basler_c02_acA2040-90um (24827095)_20250828_120211006DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250828,Group8,c03,Basler_c03_acA2040-90um (24827095)_20250828_114501142DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Iso,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250828,Group8,c04,Basler_c04_acA2040-90um (24827095)_20250828_124219702DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Iso/Nothing,Nothing,Iso,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250831,Group9,c00,Basler_c00_acA2040-90um (24827095)_20250831_133735106DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Feces,1201,1201,body_end
20250831,Group9,c01,Basler_c01_acA2040-90um (24827095)_20250831_141329974DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Nothing,1201,1201,body_end
20250831,Group9,c02,Basler_c02_acA2040-90um (24827095)_20250831_131313168DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250831,Group9,c03,Basler_c03_acA2040-90um (24827095)_20250831_142908253DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Feces,1201,1201,body_end
20250831,Group9,c04,Basler_c04_acA2040-90um (24827095)_20250831_135712646DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
20250830,Group10,c00,Basler_c00_acA2040-90um (24827095)_20250830_150510999DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,169.5,28.226477935054124,128.5,21.398834304746046,151.5,25.228975853455456,332.0,55.28726061615321,left_s,Feces,1201,1201,body_end
20250830,Group10,c01,Basler_c01_acA2040-90um (24827095)_20250830_160029679DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,227.5,37.885095753538714,138.5,23.064113238967526,138.5,23.064113238967526,190.0,31.64029975020816,right_s,Feces,1201,1201,body_end
20250830,Group10,c02,Basler_c02_acA2040-90um (24827095)_20250830_161600473DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,179.0,29.80849292256453,291.5,48.5428809325562,96.5,16.069941715237302,123.5,20.566194837635305,top_ns,top_ns,1201,1201,body_end
20250830,Group10,c03,Basler_c03_acA2040-90um (24827095)_20250830_154112412DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Feces,Nothing,,457.0,76.10324729392173,77.0,12.822647793505412,417.5,69.52539550374688,90.5,15.070774354704414,right_s,Nothing,1201,1201,body_end
20250830,Group10,c04,Basler_c04_acA2040-90um (24827095)_20250830_152322462DLC_Resnet50_single_k7Sep2shuffle1_snapshot_best-110.h5,Feces/Nothing,Nothing,Feces,,162.0,26.977518734388013,105.5,17.568692756036636,114.5,19.06744379683597,334.5,55.70358034970858,left_s,Nothing,1201,1201,body_end
